Mouse Necropsy information sheet,...2,...3,...4
Initials,CS/TT,,
Today's Date,44337,,
Mouse ID,25579,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA:BrafCa/Ca;Tyr/+,,
BD,44171,,
Sac Date,44337,,
Age at Sac,166,,
Injection Date,44537,,
Virus 1,RCAS HA-PIK3CA-H1047R + Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA:BrafCa/Ca;Tyr/+,,
Tissue collected,"Brain, Lungs",,
Zinc fixed?,No,,
Formalin fixed?,full brain,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Generally unwell. Brain not very solid,,
