Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,CM,,,,,,,,
Today's Date,44893,,,,,,,,
Mouse ID,31590-00,,,,,,,,
Disposition,Healthy,,,,,,,,
Sex,Male,,,,,,,,
Strain,GFP,,,,,,,,
BD,44799,,,,,,,,
Sac Date,44893,,,,,,,,
Age at Sac,94,,,,,,,,
RCAS injection?,,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,"Brain, Lung, Heart, Liver, Spleen",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"This mouse was sac'd at the end of an MTD experiment - Paxalisib (10mg/mL), Encorafenib (20mg/mL), Binimetinib (25mg/mL) - 1 dose per day. A cardiac puncture was performed to collect blood.",,,,,,,,
