Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,43986,,
Mouse ID,23474,,
Disposition,T1 -- Right shoulder (tiny),,
Disposition,Found dead but necropsied,,
Treatment,,,
Sex,Female,,
Strain,All alleles x pgc1a,,
BD,43940,`,
Sac Date,43986,,
Age at Sac,46,,
Injection Date,43942,,
Virus 1,RCAS Cre,,
Virus 2,RCAS myrAkt1,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,Braf ca; Cdkn2a f/f; Pten f/f; Pgc1a f/f,,
Tissue collected,"Brain, lungs, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs, T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Skull intact,,
,Brain a bit mushy but intact,,
,All organs appeared normal,,
,T1 too small for cryogenic,,
