Mouse Necropsy information sheet,...2
Initials,AW
Today's Date,42702
Mouse ID,10106
Disposition,normal
Sex,male
Strain,Nestin-TVA;Pten
BD,42470
Sac Date,42582
Age at Sac,112
RCAS injection?,Yes
Injection route,IC
Injection Date,42472
Virus 1,Cre
Virus 2,TRE3-BRAF
Virus 3,TetOff
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; Pten
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
