Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,43677
Mouse ID,NSG 00474
Disposition,Experimental Endpoint
Sex,Female
Strain,NSG
BD,43532
Sac Date,43677
Age at Sac,145
RCAS injection?,No
Injection route,Intracranial injection
Injection Date,
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,Brain
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Experimental Endpoint
,"tumor sphere 5131 engrafted on 3/11/2019; Plasma collected, brain tissue collected for IHC"
