Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42893,,
Mouse ID,14497,,
Disposition,lethargic,,
Sex,male,,
Strain,Nestin-TVA;pten f/f,,
BD,42802,,
Sac Date,42877,,
Age at Sac,75,,
RCAS injection?,Yes,,
Injection route,intercrainal,,
Injection Date,42846,,
Virus 1,IHDR132H,,
Virus 2,PDGFA,,
Virus 3,Cre,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42873,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA;pten f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,no obvious tumor on disection,,
,,,
