Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42565
Mouse ID,10860
Disposition,Tumor
Sex,Male
Strain,Nestin-TVA; ATRX flox/flox;Ptenf/f
BD,42535
Sac Date,42564
Age at Sac,29
RCAS injection?,Yes
Injection route,IC
Injection Date,42537
Virus 1,Cre
Virus 2,PDGFA
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42557
Dox Tx?,NA
Duration of Dox Tx,NA
Genotype,"Nestin-TVA; ATRX flox/flox,Pten f/f"
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,Domed head and some accumulated fluid
