Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42642
Mouse ID,10241
Disposition,Endpoint
Sex,male
Strain,Nestin-TVA;Pten f/f
BD,42485
Sac Date,42640
Age at Sac,155
RCAS injection?,Yes
Injection route,IC
Injection Date,42550
Virus 1,Cre
Virus 2,PDGFA
Virus 3,IDHR132H
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; Pten f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
