Mouse Necropsy information sheet,...2,...3,...4
Initials,YN,,
Today's Date,42821,,
Mouse ID,14033,,
Disposition,Difficult respiration; two primary tumor sites,,
Sex,Female,,
Strain,All alleles,,
BD,42769,,
Sac Date,42821,,
Age at Sac,52,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42775,,
Virus 1,RCAS myrFLAG AKT 1PL/2KR,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,2/28//2017,,
Date Tumor reported,N/A,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumors",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Two primary tumor sites; 1 found near the base of the skull and 1 slightly below shoulder blades,,
,Skull was in tact; small met noticed upon visual inspection,,
,Heart and lungs looked healthy upon visual inspection,,
,1 cryogenic tube of tumor tissue was frozen down.,,
