Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,45037,,,,,,,,
Mouse ID,33788-01,,,,,,,,
Disposition,"Sac'd for tumor size, sporatic movements",,,,,,,,
Sex,Male,,,,,,,,
Strain,DCT-TVA::Ptenf/f;Brafca/ca,,,,,,,,
BD,44969,,,,,,,,
Sac Date,45033,,,,,,,,
Age at Sac,64,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Subcutaneous behind ear,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS Cre 2/14/23,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,45022,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Ptenf/f;Brafca/ca,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Had primary tumor growing between ears, tumor had started eating away at the skull and going into the brain. Lungs and liver appeared normal",,,,,,,,
