Mouse Necropsy information sheet,...2
Initials,G. I. P.
Today's Date,43805
Mouse ID,21727-10
Disposition,Tumor burden Behavior and large Dome Head
Sex,F
Strain,Oligo Nation C
BD,43771
Sac Date,43805
Age at Sac,1m 4d
RCAS injection?,RCAS Cre + RCAS IDH1R132H-HA
Injection route,
Injection Date,
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"No visible evidence, just a lot of excess fluid and blood"
Date Tumor reported,43791
Dox Tx?,n/a
Duration of Dox Tx,n/a
Genotype,Oligo Nation C
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
