Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42677,,
Mouse ID,11268,,
Disposition,"Normal dispostion, tumor size; T1- across scapulas",,
Sex,Female,,
Strain,Braf het,,
BD,42559,,
Sac Date,42677,,
Age at Sac,118,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42562,,
Virus 1,RCAN HA-Akt1 E17K,,
Virus 2,RCAS Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf het; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Normal dispostion, tumor size; T1- across scapulas",,
,Skull intact,,
,Lungs had small spots present; liver was massive and speckled,,
,"2 cryos, 1 cell line attempted",,
,TVA NEG-- tail was clipped for re-genotyping,,
