Mouse Necropsy information sheet,...2
Initials,G. I. P.
Today's Date,43839
Mouse ID,21728-30
Disposition,Tumor burden Behavior and large Dome Head
Sex,F
Strain,Oligo Nation C
BD,43771
Sac Date,43839
Age at Sac,68 days
RCAS injection?,RCAS Cre + RCAS IDH1R132H-HA
Injection route,
Injection Date,
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"domed head noticed on 1/7/20, behavioral sign (isolation) on 1/9/20"
Date Tumor reported,43837
Dox Tx?,n/a
Duration of Dox Tx,n/a
Genotype,Oligo Nation C
Tissue collected,Brain and Plasma
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
