Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,43971
Mouse ID,23449
Disposition,Mouse stopped moving
Sex,Male
Strain,N-TVA; pten f/f; Ink4a f/f
BD,43937
Sac Date,43971
Age at Sac,34
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43939
Virus 1,RCAS Cre + RCAS HbEGF
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"Partially paralyzed, and domed head"
Date Tumor reported,43971
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA; pten f/f; Ink4a f/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,HCI-20-23449-BR
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
