Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42717,,
Mouse ID,12011,,
Disposition,Lethargic disposition; T1- top of head; T2- L ear; T3- between scapulas,,
Sex,Female,,
Strain,All alleles,,
BD,42620,,
Sac Date,42717,,
Age at Sac,97,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42621,,
Virus 1,RCAN TRE HA-Akt1 E17K,,
Virus 2,RCAS Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (3),,
Date Tumor reported,42690,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf het; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Lethargic disposition; T1- top of head; T2- L ear; T3- between scapulas,,
,Skull was intact,,
,Organs appeared normal,,
,"T1 & T2- 1 cryogenic, 1 cell line; T3- 1 cell line attempted",,
