Mouse Necropsy information sheet,...2
Initials,AW
Today's Date,42638
Mouse ID,10172
Disposition,possible tumor
Sex,female
Strain,Nestin-TVA;Ink Atrx;Pten f/f
BD,42480
Sac Date,42632
Age at Sac,152
RCAS injection?,Yes
Injection route,IC
Injection Date,42535
Virus 1,Cre
Virus 2,PDGFA
Virus 3,
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA;ATRX f/f Ink f/f Pten f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
