Mouse Necropsy information sheet,...2
Initials,G. I. P.
Today's Date,43813
Mouse ID,21732
Disposition,Tumor burden Behavior and large Dome Head
Sex,Male
Strain,Nestin-TVA; Ink4af/f; H11LSL-Cas9 f/f; CIC f/f (OligoNation C)
BD,43771
Sac Date,43813
Age at Sac,42
Injection Date,43773
Virus 1,RCAS Cre
Virus 2,RCAS IDH1R132H-HA
Virus 3,
Virus 4,
Evidence of tumor?,Domed head
Date Tumor reported,43802
Dox Tx?,n/a
Duration of Dox Tx,n/a
Genotype,Nestin-TVA; Ink4af/f; H11LSL-Cas9 f/f; CIC f/f
Tissue collected,"Brain, Plasma"
Zinc fixed?,No
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Fixed the brain in 10% NBF overnight and the next day transferred to 70% EtOH in a 50mL conical.
,Virus was added in a 1:1 ratio with 10^6 cells total per pup in 5uL.
