Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,43133
Mouse ID,NSG 00186
Disposition,Hunched and lethargic dispostion; sac'd due to poor health and labored breathing
Sex,Male
Strain,NSG
BD,43058
Sac Date,43133
Age at Sac,75
RCAS injection?,No
Injection route,Tail vein
Injection Date,43097
Virus 1,7788 (Tail vein)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,None
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Brain, lungs and rib tumor"
Zinc fixed?,No
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Hunched and lethargic dispostion; sac'd due to poor health and labored breathing
,Brain and skull intact.
,Lungs had nodules present
,Tumor present on inside of rib cage - formalin fixed
