Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42863,,
Mouse ID,14843,,
Disposition,"Lethargic disposition and breathing rapidly, no tumor visible.",,
Sex,Male,,
Strain,All alleles,,
BD,42829,,
Sac Date,42863,,
Age at Sac,34,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42830,,
Virus 1,RCAS HA mTG2,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42859,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, spleen, liver, kidneys",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Had severe popcorn lung phenotype.,,
,Skull intact- blood in brain.,,
,No tumor could be found.,,
