Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,42936
Mouse ID,NSG0125
Disposition,Very lethargic; ungroomed; mouse ; T1- R flank
Sex,Male
Strain,NSG
BD,42893
Sac Date,42936
Age at Sac,43
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42896
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,42921
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain, lungs"
Zinc fixed?,Brain and lungs
Formalin fixed?,Tumor
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Very lethargic; ungroomed; mouse ; T1- R flank
,Skull and brain were in tact.
,All other organs appeared normal.
,Tumor along right lateral side of abdomen.
,1 cell line and 1 cryogenic attempted.
