Mouse Necropsy information sheet,...2,...3,...4
Initials,BP,,
Today's Date,42927,,
Mouse ID,15299,,
Disposition,"Hunched, emaciated, lethargic, poor grooming",,
Sex,male,,
Strain,N-TVA; ATRX f/f; Ink4a f/f; Pten f/f,,
BD,42861,,
Sac Date,42927,,
Age at Sac,66,,
RCAS injection?,Yes,,
Injection route,intercranial,,
Injection Date,42863,,
Virus 1,IDH1WT,,
Virus 2,CRE,,
Virus 3,PDGFA,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,42921,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; Atrxf/f; Pten f/f; Ink f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,hematoma,,
,,,
