Mouse Necropsy information sheet,...2,...3
Initials,GP,
Today's Date,44015,
Mouse ID,22331-01,
Disposition,No evidence of primary tumor.,
Disposition,Experimental endpoint.,
Treatment,,
Sex,Female,
Strain,DCT-TVA; Braf CA/CA; Tyr/+,
BD,43835,`
Sac Date,44015,
Age at Sac,180,
Injection Date,43837,
Virus 1,RCAS myr-FLAG-AKT2 + RCAS Cre (1/7/20 GP),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,No,
Date Tumor reported,,
Dox Tx?,,
Duration of Dox Tx,,
Genotype,DCT-TVA; Braf CA/CA; Tyr/+,
Tissue collected,"B,L",
Zinc fixed?,No,
Formalin fixed?,"B,L",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,Yes,
Additional comments,Skull intact.,
,Large lung nodules found upon gross observation ex vivo.,
,All other organs appeared normal.,
,No evidence of primary tumor.,
