Mouse Necropsy information sheet,...2
Initials,SA
Today's Date,42881
Mouse ID,14983
Disposition,"hunched, lethargic"
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42839
Sac Date,42881
Age at Sac,42
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42842
Virus 1,IDH1WT
Virus 2,PDGFA
Virus 3,Cre
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42879
Dox Tx?,no
Duration of Dox Tx,
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"The skull was very soft, but the brain appeared normal otherwise"
