Mouse Necropsy information sheet,...2,...3,...4
Initials,ND,,
Today's Date,43129,,
Mouse ID,17345,,
Disposition,Normal disposition; sac'd due to tumor size. T1 - behind L scapula; T2 - between ears,,
Sex,Female,,
Strain,All Alleles,,
BD,43066,,
Sac Date,43129,,
Age at Sac,63,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,43067,,
Virus 1,RCAN myr-HA-Akt1,,
Virus 2,RCAS Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,43117,,
Dox Tx?,Yes,,
Duration of Dox Tx,12,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Tumors, brain, lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Tumor, brain, lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes one noted,,
Additional comments,Normal disposition; sac'd due to tumor size. T1 - behind L scapula; T2 - between ears,,
,Brain and skull were in tact,,
,Other organs appeared normal,,
,T1 - 2 cryos and 1 cell line; T2 - 2 cryos and 1 cell line attempted,,
Blood Collection,Unable to draw blood,,
