Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,CMM,,,,,,,,
Today's Date,44875,,,,,,,,
Mouse ID,31596-01,,,,,,,,
Disposition,"scruffy, weight loss, squinting, not moving, barely breathing",,,,,,,,
Sex,Female,,,,,,,,
Strain,GFP,,,,,,,,
BD,44799,,,,,,,,
Sac Date,44873,,,,,,,,
Age at Sac,74,,,,,,,,
RCAS injection?,No,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,"Brain, Lung, Liver",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,Mouse had to be sac'd because of toxicity due to overdosing,,,,,,,,
