Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42631
Mouse ID,11845
Disposition,Tumor/ MRI scanned
Sex,Male
Strain,Nestin-TVA; ATRX flox/flox; Pten f/f
BD,42605
Sac Date,42626
Age at Sac,21
RCAS injection?,Yes
Injection route,IC
Injection Date,42606
Virus 1,Cre
Virus 2,PDGFA
Virus 3,IDHR132H
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42625
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA;ATRX f/f; Pten f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,Enlarged brain with fluid.
