Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42623
Mouse ID,10099
Disposition,Endpoint
Sex,female
Strain,Nestin-TVA;ATRX flox/flox
BD,42469
Sac Date,42621
Age at Sac,152
RCAS injection?,Yes
Injection route,IC
Injection Date,42471
Virus 1,Cre
Virus 2,PDGFA
Virus 3,IDHR132H
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
