Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42828
Mouse ID,14412
Disposition,large domed head
Sex,M
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42796
Sac Date,42827
Age at Sac,31
RCAS injection?,Yes
Injection route,intercranial
Injection Date,42798
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,
Date Tumor reported,3/16/2017 (domed head noted)
Dox Tx?,Yes
Duration of Dox Tx,48hrs
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,hydrocephaly
