Mouse Necropsy information sheet,...2,...3,...4
Initials,BP,,
Today's Date,42719,,
Mouse ID,13034,,
Disposition,tumor,,
Sex,male,,
Strain,Nestin-TVA; ATRX flox/flox;inkf/f;ptenf/f,,
BD,42700,,
Sac Date,42719,,
Age at Sac,19,,
RCAS injection?,Yes,,
Injection route,intercranial,,
Injection Date,42704,,
Virus 1,PDGFA,,
Virus 2,Cre,,
Virus 3,IDHR132H,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42719,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; ATRX flox/flox;inkf/f;ptenf/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Severe hydrocephally, brain embedded in OCT compound",,
,,,
