Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,42835
Mouse ID,NSG00047
Disposition,"Normal, active disposition; slightly; ungroomed; sac'd due to poor health/eye issues"
Sex,Female
Strain,NSG
BD,42800
Sac Date,42835
Age at Sac,35
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42802
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42829
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,Yes
Formalin fixed?,No
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Normal, active disposition; slightly; ungroomed; sac'd due to poor health/eye issues"
,Brain and skull in tact.
,Brain appeared normal.
