Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42497
Mouse ID,10073
Disposition,Domed head
Sex,Female
Strain,Nestin-TVA; ATRX flox/flox;Pten f/f
BD,42468
Sac Date,42496
Age at Sac,28
RCAS injection?,Yes
Injection route,IC
Injection Date,42471
Virus 1,Cre
Virus 2,PDGFA
Virus 3,IDHR132H
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42488
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox;Pten f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,"Hydrocephally, discoloration of brain tissue and deformation of"
,brain hemispheres noted.
