Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,44333,,
Mouse ID,26636-01,,
Disposition,Sac'd due to tumor size,,
Disposition,tumor on eye impacting vision,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,All Alleles,,
BD,44283,,
Sac Date,44333,,
Age at Sac,50,,
Injection Date,44284,,
Virus 1,RCAS Akt1+Cre 3/29/21 CS,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,All Alleles,,
Tissue collected,"Brain, lung, tumors (T1 and T2)",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, tumors (T1 and T2)",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Sac'd due to tumor size; tumor on eye impacting vision.,,
,Skull was mostly intact.,,
,Tumor found in chest cavity.,,
,Primary tumor located on left eye.,,
,Lungs had multiple nodules and black lobes.,,
