Mouse Necropsy information sheet,...2,...3,...4
Initials,CS/RF/KC,,
Today's Date,44351,,
Mouse ID,26434-00,,
Disposition,Tumor on right side of mouth,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA::Ptenf/f;Brafca/ca;Tyr/+,,
BD,44264,,
Sac Date,44351,,
Age at Sac,87,,
Injection Date,44264,,
Virus 1,RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Brafca/ca;Tyr/+,,
Tissue collected,"T1, Brain, Lungs",,
Zinc fixed?,No,,
Formalin fixed?,"T1, Brain, Lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"All major organs intact, no evidence of metastases",,
