Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42923,,
Mouse ID,13958,,
Disposition,Lethargic disposition and domed head (looked a little like a tumor before necropsy). Otherwise no tumor present.,,
Sex,Male,,
Strain,Ink WT,,
BD,42764,,
Sac Date,42923,,
Age at Sac,159,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42765,,
Virus 1,RCAS hLSD1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,NA,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf; Ink wt,,
Tissue collected,"brain, lungs, heart, liver, kidneys, spleen",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Nodule on lungs,,
,No primary tumor found after thorough examination.,,
,"Domed head and blood in brain, brain appeared enlarged and was soft.",,
,Skull was intact but soft on sides.,,
