Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42905
Mouse ID,15203
Disposition,"Hunched, emaciated"
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42853
Sac Date,42904
Age at Sac,51
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42855
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,"Yes, MRI showing tumor 5/23/2017"
Date Tumor reported,
Dox Tx?,Yes
Duration of Dox Tx,3 days
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"After animal displayed some signs of distress (hunched/emaciated), it was placed on Dox for 3 days to assess effects of dox"
