Mouse Necropsy information sheet,...2
Initials,AG
Today's Date,43980
Mouse ID,23445-10
Disposition,Sacked-Scruffy and lethargic
Sex,Female
Strain,N-TVA; Ink4a f/f; pten f/f
BD,43937
Sac Date,43980
Age at Sac,44 days
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43939
Virus 1,RCAS-CRE
Virus 2,RCAS-pro-HBEGF
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,N::TVA;Cdkn2alox/lox;Ptenlox/lox
Tissue collected,Brain
Zinc fixed ?,No
Formalin fixed?,Yes
Parafin Block #'s,HCI-20-23445
,
Slide #'s,1
H&E?,yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Brain apperes Normal.
