Mouse Necropsy information sheet,...2
Initials,KB
Today's Date,42769
Mouse ID,13694-01
Disposition,FD 2/3/17
Sex,M
Strain,NTVA Pten f/f Ink Arf f/f
BD,42741
Sac Date,
Age at Sac,28d
RCAS injection?,Yes
Injection route,Cranial
Injection Date,42754
Virus 1,RCAS HGEGF
Virus 2,RCAS Cre
Virus 3,
Virus 4,
Evidence of tumor?,yes
Date Tumor reported,42758
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f
Tissue collected,Brain
,
Formalin fixed?,Yes 4% PFA drop fix
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
