Mouse Necropsy information sheet,...2
Initials,AG
Today's Date,44055
Mouse ID,23632-01Br
Disposition,Experimental endpoint
Sex,Female
Strain,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+
BD,43957
Sac Date,44055
Age at Sac,99 days
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43959
Virus 1,RCAS-CRE
Virus 2,RCAS-IDH1R132H-HA
Virus 3,RCAS-PDGFA
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+
Tissue collected,Brain
Zinc fixed ?,No
Formalin fixed?,
Parafin Block #'s,HCI-20-23632
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Brain appears normal
