Mouse Necropsy information sheet,...2
Initials,RB
Today's Date,43283
Mouse ID,14533
Disposition,Leaning and impaired mobility
Sex,Male
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42804
Sac Date,43283
Age at Sac,479
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42806
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,3/30/2017 (domed head noted)
Dox Tx?,Yes
Duration of Dox Tx,300+ days
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Brain appeared largely normal. Cell line started from brain tissue.
