Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,44111,,
Mouse ID,24489,,
Disposition,T1 -- Neck (ulcerated),,
Disposition,,,
Disposition,Reason for sac: tumor ulcerated,,
Disposition,Normal behavior,,
Treatment,,,
Sex,Male,`,
Strain,All Alleles; PGC1a f/f,,
BD,44056,,
Sac Date,44111,,
Age at Sac,55,,
Injection Date,44058,,
Virus 1,RCAS myrAkt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,All Alleles; PGC1a f/f,,
Tissue collected,"T1, B, L",,
Zinc fixed?,No,,
Formalin fixed?,"T1, B, L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Skull intact,,
,All organs appeared normal,,
