Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,42878
Mouse ID,NSG00095
Disposition,"Hunched and ungroomed; sac'd due to poor health; looked underdeveloped (very small); T1- R side, broke through rib cage"
Sex,Male
Strain,NSG
BD,42854
Sac Date,42877
Age at Sac,23
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42857
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,42874
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain, lungs, heart, kidney, spleen, liver"
Zinc fixed?,Brain and lungs
Formalin fixed?,Tumor and remaining organs
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Hunched and ungroomed; sac'd due to poor health; looked underdeveloped (very small); T1- R side, broke through rib cage"
,Skull and brain were intact
,Other organs appeared normal
,1 cell line attempted
