Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44985,,,,,,,,
Mouse ID,33438-00,,,,,,,,
Disposition,"Heavy breathing, weight loss, primary tumor on neck, secondary tumor on left hip",,,,,,,,
Sex,Male,,,,,,,,
Strain,All Alleles + Cas9f/+,,,,,,,,
BD,44942,,,,,,,,
Sac Date,44985,,,,,,,,
Age at Sac,43,,,,,,,,
RCAS injection?,RCAS-Cre + NF1,,,,,,,,
Injection route,SubQ behind ear,,,,,,,,
Injection Date,44943,,,,,,,,
Virus 1,RCAS-Cre + NF1,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,44978,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca;Cas9f/+,,,,,,,,
Tissue collected,"T1, T2, Brain, Lung, Liver",,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Primary and secondary tumor were medium sized, brain and liver appeared normal, lung had many nodules and large masses",,,,,,,,
