Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,42937
Mouse ID,NSG00120
Disposition,FD; T1- R flank
Sex,Male
Strain,NSG
BD,42893
Sac Date,42947
Age at Sac,54
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42896
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,42921
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain, lungs"
Zinc fixed?,Brain and lungs
Formalin fixed?,Tumor
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,FD; T1- R flank
,Skull was intact but brain was mushy
,Lungs looked normal
,Organs appeared normal but necrotic
,2 cryogenics and 1 cell line attempted
