Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42796,,
Mouse ID,12249,,
Disposition,"Active in cage, ulcerated tumor on back of skull wrapping towards left ear.",,
Sex,Male,,
Strain,Ink WT,,
BD,42637,,
Sac Date,42796,,
Age at Sac,159,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42639,,
Virus 1,RCAS hLSD1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42769,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf; Ink wt,,
Tissue collected,"brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,No cryovials frozen.,,
,Cell line attempted for each tumor.,,
,Nodule present on lung.,,
,Skull intact.,,
