Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,42880
Mouse ID,NSG00079-10
Disposition,Hunched and ungroomed; sac'd due to tumor size/ulcerated tumor.
Sex,Male
Strain,NSG
BD,42850
Sac Date,42880
Age at Sac,30
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42851
Virus 1,9678 (subcutaneous)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42871
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor"
Zinc fixed?,"Brain, lungs"
Formalin fixed?,"Tumor, organs"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Hunched and ungroomed; sac'd due to tumor size/ulcerated tumor.
,Tumor was fluid-filled; less than 1/2 of tumor was actual tissue.
,Tumor invaded rib cavity and was depressing organs.
,All collected organs appeared normal.
,2 cryogenics and 1 cell line attempted per tumor.
