Mouse Necropsy information sheet,...2
Initials,AG
Today's Date,44042
Mouse ID,23563-03
Disposition,"Isolated itself, scruffy lethargic"
Sex,Male
Strain,N-TVA; Ink4a f/f; pten f/f
BD,43946
Sac Date,44042
Age at Sac,97 days
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43950
Virus 1,RCAS-CRE
Virus 2,RCAS-pro-HBEGF
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,N::TVA;Cdkn2alox/lox;Ptenlox/lox
Tissue collected,Brain
Zinc fixed ?,No
Formalin fixed?,Yes
Parafin Block #'s,HCI-20-23563
,
Slide #'s,1
H&E?,yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Brain apperes Normal.
