Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42795,,
Mouse ID,13820,,
Disposition,partially paralysed legs,,
Sex,male,,
Strain,Nestin-TVA;pten f/f;Ink4a f/f,,
BD,42755,,
Sac Date,42795,,
Age at Sac,40,,
RCAS injection?,Yes,,
Injection route,intercrainal,,
Injection Date,42758,,
Virus 1,PDGFA,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42794,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA;pten f/f;Ink4a f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"domed head, pet him a little bit because I thought he liked it then I noticed he was paralized so I stopped.",,
,,,
