Mouse Necropsy information sheet,...2
Initials,GP/GP/KA
Today's Date,43755
Mouse ID,NSG 00505
Disposition,"Lethargic, scruffy"
Sex,Female
Strain,NSG
BD,43585
Sac Date,43749
Age at Sac,164
RCAS injection?,No
Injection route,Intracranial injection
Injection Date,43588
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of domed head?,yes
Date domed head reported,43615
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Brain, plasma"
Zinc fixed?,No
Formalin fixed?,Brain
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Lethargic, scruffy"
,"Brain collected for IHC and H&E, tissue taken to culture"
,engrafted with 24382 patient-derived tumor stem cells 10/11
