Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42975,,
Mouse ID,15612,,
Disposition,found dead,,
Sex,female,,
Strain,Nestin-TVA; ATRX flox/flox; Ink4a f/f; Pten f/f,,
BD,42889,,
Sac Date,42975,,
Age at Sac,86,,
RCAS injection?,Yes,,
Injection route,intracranial,,
Injection Date,42892,,
Virus 1,LV:NF1,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,no,,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; ATRX flox/flox; Ink4a f/f; Pten f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,mushy brain,,
,,,
