Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44643,,
Mouse ID,29054-00,,
Disposition,Head tumor,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,All Alleles + Cas9f/f,,
BD,44570,,
Sac Date,44643,,
Age at Sac,73,,
Injection Date,44574,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (1/13/22 RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,"Yes, tumor present on top of skull",,
Date Tumor reported,44628,,
Dox Tx?,,,
Drug treatment,,,
Genotype,All Alleles + Cas9f/f,,
Tissue collected,"Brain, Lungs, Liver, T1,T2",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver, T1,T2",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,N,,
Additional comments,Tumors found outside of skull and a second tumor was found attached to the skull.,,
,,,
