Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,42891
Mouse ID,NSG00094-11
Disposition,"Very ungroomed; sac'd due to ulcerated tumor; T1- R side, enveloping R arm"
Sex,Female
Strain,NSG
BD,42854
Sac Date,42891
Age at Sac,37
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42857
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,42874
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain, lungs, heart, kidneys, spleen, liver"
Zinc fixed?,Brain and lungs
Formalin fixed?,Tumor and remaining organs
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Very ungroomed; sac'd due to ulcerated tumor; T1- R side, enveloping R arm"
,Skull and brain were intact
,Spleen appeared very small.
,All other organs appeared normal.
,1 cryogenic and 1 cell line attempted
