Mouse Necropsy information sheet,...2
Initials,RB
Today's Date,43089
Mouse ID,NSG 00147
Disposition,Experimental Endpoint
Sex,Male
Strain,NSG
BD,42986
Sac Date,43089
Age at Sac,103
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42990
Virus 1,AIP IDHR132H
Virus 2,PDGFA
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,NA
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Brain Appeared Normal
