Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44342,,
Mouse ID,26436-00,,
Disposition,Tumor on right side of face,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA::Ptenf/f;Brafca/ca;Tyr/+,,
BD,44264,,
Sac Date,44361,,
Age at Sac,97,,
Injection Date,44264,,
Virus 1,RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44335,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Brafca/ca;Tyr/+,,
Tissue collected,"B,L,T1",,
Zinc fixed?,No,,
Formalin fixed?,"B,L,T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Brain not fully intact,,
