Mouse Necropsy information sheet,...2,...3,...4
Initials,MV,,
Today's Date,43530,,
Mouse ID,19562,,
Disposition,No Tumor,,
Disposition,,,
,,,
Disposition,"Sac'd due to illness, paralysis",,
Treatment,N/A,,
Sex,Male,,
Strain,All Alleles,,
BD,43478,,
Sac Date,43530,,
Age at Sac,52,,
Injection Date,43481,,
Virus 1,RCAS Akt1E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,All Alleles,,
Tissue collected,None,,
Zinc fixed?,No,,
Formalin fixed?,No,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,None,,
Additional comments,Skull intact,,
,,,
,All organs appeared normal,,
