Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44398,,
Mouse ID,26438-03,,
Disposition,sacked for tumor on neck,,
Disposition,,,
Treatment,,,
Sex,Male,,
Strain,DCT-TVA::Ptenf/f;Brafca/ca;Tyr/+,,
BD,44264,`,
Sac Date,44398,,
Age at Sac,134,,
Injection Date,44264,,
Virus 1,RCAS Cre (GP/CS 3/9/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44335,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,DCT-TVA::Ptenf/f;Brafca/ca;Tyr/+,,
Tissue collected,"Brain, lungs, tumor",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs, tumor",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Brain and lungs appeared normal, tumor on neck was not incredibly large",,
,,,
,,,
