Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42622,,
Mouse ID,11444,,
Disposition,"Sketchy disposition; T1- head, T2- R arm/under belly, T3- R flank, small",,
Sex,Female,,
Strain,All alleles,,
BD,42573,,
Sac Date,42622,,
Age at Sac,49,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42574,,
Virus 1,RCAS HA-Akt1 E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (3),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Sketchy disposition; T1- head, T2- R arm/under bellyl, T3- R flank, small",,
,Skull intact,,
,Organs appeared normal except spleen- small nodules were visible,,
,"T1 & T2- 2 cryos, 1 cell line; T3- 1 cell line",,
