Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,43679
Mouse ID,NSG 00487
Disposition,Experimental Endpoint
Sex,Male
Strain,NSG
BD,43555
Sac Date,43679
Age at Sac,124
RCAS injection?,No
Injection route,Intracranial injection
Injection Date,
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,Brain
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Experimental Endpoint
,"Brain collected for IHC and H&E, tissue taken to culture"
,engrafted with 21238 patient-derived tumor stem cells 4/2
