Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,CB,,,,,,,,
Today's Date,44740,,,,,,,,
Mouse ID,29559-00,,,,,,,,
Disposition,"Labored breathing, ruffled fur",,,,,,,,
Sex,Male,,,,,,,,
Strain,DCT-TVA::Brafca/ca;Tyr/Tyr,,,,,,,,
BD,44614,,,,,,,,
Sac Date,44740,,,,,,,,
Age at Sac,126,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Intracranial,,,,,,,,
Injection Date,44614,,,,,,,,
Virus 1,RCAS myr-HA-AKT1,,,,,,,,
Virus 2,RCAS Cre,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Brafca/ca;Tyr/Tyr,,,,,,,,
Tissue collected,"Brain, liver, lungs",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,HCI-22-29559,,,,,,,,
,,,,,,,,,
Slide #'s,1,,,,,,,,
H&E?,yes,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"No tumors were found, but the mouse was aggressively chewing at the box trying to get out.",,,,,,,,
