Mouse Necropsy information sheet,...2
Initials,SA
Today's Date,42887
Mouse ID,15216
Disposition,Normal
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42854
Sac Date,42887
Age at Sac,33
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42855
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42870
Dox Tx?,Yes
Duration of Dox Tx,10 days
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Hydrocephaly (sac'd due to negative MRI)
