Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44935,,,,,,,,
Mouse ID,32737-03,,,,,,,,
Disposition,"Head bulge, sporatic movements",,,,,,,,
Sex,Female,,,,,,,,
Strain,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,,,,,,,,
BD,44890,,,,,,,,
Sac Date,44932,,,,,,,,
Age at Sac,42,,,,,,,,
RCAS injection?,,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS Cre GP (11/24/22),,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,44930,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,,,,,,,,
Tissue collected,"Brain, Lung, Liver, Tumor",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"No evidence of primary tumor, but brain was enlarged, discoloration on left hemisphere, and large lung nodules",,,,,,,,
