Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42919
Mouse ID,15215
Disposition,"Scruffy, lethargic"
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42854
Sac Date,42919
Age at Sac,65
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42855
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,"Yes, MRI showing tumor 5/23/2017"
Date Tumor reported,
Dox Tx?,Yes
Duration of Dox Tx,41 days
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,hydrocephalus; Brain tissue fixed for IHC
