Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42292
Mouse ID,7575
Disposition,Exp end point.
Sex,Female
Strain,Nestin-TVA; ATRX flox/flox;Ink F/F
BD,42142
Sac Date,42292
Age at Sac,150
RCAS injection?,Yes
Injection route,IC
Injection Date,42143
Virus 1,Cre
Virus 2,MIDHR132H
Virus 3,
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,
Tissue collected,Brain
,Nestin-TVA; ATRX flox/flox;Ink F/F
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
