Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43166
Mouse ID,NSG 00201
Disposition,Sac'd mouse due to lethargic behavior and ungroomed
Sex,Male
Strain,NSG
BD,43091
Sac Date,43166
Age at Sac,75
RCAS injection?,No
Injection route,Tail vein
Injection Date,43143
Virus 1,9678 (Tail vein)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd mouse due to lethargic behavior and ungroomed
,Brain and skull in tact. Brain was very difficult to extract.
,Brain appeared slightly enlarged but normal.
,Lung nodules present
