Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42788,,
Mouse ID,12117,,
Disposition,"Active in cage, large tumor spreading from left shoulder to top of head.",,
Sex,Male,,
Strain,Ink WT,,
BD,42628,,
Sac Date,42787,,
Age at Sac,159,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42619,,
Virus 1,RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,NA,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf; Ink wt,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Large tumor going from left shoulder to head-- kind of localized in two chunks but appeared to be connected.,,
,H&L appeared healthy,,
,2 tumor tissue cryovials frozen and cell line attempted,,
